model_code,model_name,capacity_kw,form,list_price,sale_price,monthly_fee,buy_url,sub_url
SQ07GS9EES,LG 휘센 벽걸이에어컨,2.8,벽걸이,1716000,1460000,34900,https://www.lge.co.kr/air-conditioners/sq07gs9ees-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq07gs9ees-akor?subscCategoryKeyId=251345
SW07FK1WBS,LG 휘센 벽걸이에어컨,3.0,벽걸이,1565000,1410000,32900,https://www.lge.co.kr/air-conditioners/sw07fk1wbs-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sw07fk1wbs-akor?subscCategoryKeyId=252791
SQ09EJ1WAS,LG 휘센 벽걸이에어컨,3.6,벽걸이,1188000,1090000,26900,https://www.lge.co.kr/air-conditioners/sq09ej1was-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq09ej1was-akor?subscCategoryKeyId=239449
SQ09GJ1WAS,LG 휘센 벽걸이에어컨,3.6,벽걸이,1232000,1110000,27900,https://www.lge.co.kr/air-conditioners/sq09gj1was-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq09gj1was-akor?subscCategoryKeyId=252790
SQ09GK1WES,LG 휘센 벽걸이에어컨,3.6,벽걸이,1499000,1350000,32900,https://www.lge.co.kr/air-conditioners/sq09gk1wes-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq09gk1wes-akor?subscCategoryKeyId=253079
SW09GK1WAS,LG 휘센 벽걸이에어컨,3.6,벽걸이,1677000,1510000,34900,https://www.lge.co.kr/air-conditioners/sw09gk1was-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sw09gk1was-akor?subscCategoryKeyId=253083
SW09FS1EES,LG 휘센 벽걸이에어컨,3.6,벽걸이,2109000,1900000,41900,https://www.lge.co.kr/air-conditioners/sw09fs1ees-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sw09fs1ees-akor?subscCategoryKeyId=249671
SQ11EK1WES,LG 휘센 벽걸이에어컨,4.2,벽걸이,1610000,1450000,33900,https://www.lge.co.kr/air-conditioners/sq11ek1wes,https://www.lge.co.kr/care-solutions/air-conditioners/sq11ek1wes?subscCategoryKeyId=236640
SQ11GK1WES,LG 휘센 벽걸이에어컨,4.2,벽걸이,1621000,1460000,33900,https://www.lge.co.kr/air-conditioners/sq11gk1wes-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sq11gk1wes-akor?subscCategoryKeyId=253080
SW11GK1WAS,LG 휘센 벽걸이에어컨,4.7,벽걸이,1788000,1610000,36900,https://www.lge.co.kr/air-conditioners/sw11gk1was-akor,https://www.lge.co.kr/care-solutions/air-conditioners/sw11gk1was-akor?subscCategoryKeyId=253084
SQ13EK1WAS,LG 휘센 벽걸이에어컨,5.2,벽걸이,1794000,1520000,34900,https://www.lge.co.kr/air-conditioners/sq13ek1was,https://www.lge.co.kr/care-solutions/air-conditioners/sq13ek1was?subscCategoryKeyId=236642
